# PLAZA instance : monocots_05
# File generation timestamp : Fri Sep 17 10:54:33 CEST 2021
species	common_name	tax_id	source	data_provider	pubmed_id
osak	Oryza sativa Kitaake	4530	V3.2	https://phytozome-next.jgi.doe.gov/info/OsativaKitaake_v3_1	31775618
oth	Oropetium thomaeum	1148796	COGE v2.0	https://genomevolution.org/CoGe/GenomeInfo.pl?gid=51527	31245697
pco	Prasinoderma coloniale	156133	v1.0	https://db.cngb.org/search/?q=CNP0000924	32572216
ped	Phyllostachys edulis	38705	GigaDBv2.0	http://gigadb.org/dataset/100498	30202850
pha	Panicum hallii	206008	JGI v3.2	https://phytozome-next.jgi.doe.gov/info/Phallii_v3_2	30523281
ppa	Physcomitrium patens	3218	JGI v3.3	https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Ppatens	18079367
ptr	Populus trichocarpa	3694	JGI v4.1	https://phytozome-next.jgi.doe.gov/info/Ptrichocarpa_v4_1	16973872
sbi	Sorghum bicolor	4558	JGI v3.1	https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Sbicolor	19189423
sce	Secale cereale	4550	Rye v1.0	https://bigd.big.ac.cn/gwh/Assembly/12832/show	33737755
sgi	Sequoiadendron giganteum	99814	V2.0	https://treegenesdb.org/org/Sequoiadendron-giganteum	32948606
sit	Setaria italica	4555	JGI v2.2	https://phytozome.jgi.doe.gov/pz/portal.html#!bulk?org=Org_Sitalica	22580950
sly	Solanum lycopersicum	4081	ITAG4.0	http://solgenomics.net/organism/Solanum_lycopersicum/genome	22660326
smo	Selaginella moellendorffii	88036	v1.0	https://phytozome-next.jgi.doe.gov/info/Smoellendorffii_v1_0	21551031
spo	Spirodela polyrhiza	29656	JGI v2.0	https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Spolyrhiza	24548928
ssp	Saccharum spontaneum	62335	v20190103	http://www.life.illinois.edu/ming/downloads/Spontaneum_genome/	30297971
svi	Setaria viridis	4556	Phytozome v2.1	https://phytozome-next.jgi.doe.gov/info/Sviridis_v2_1	33020633
tae	Triticum aestivum	4565	IWGSCv2.1	https://wheat-urgi.versailles.inra.fr	25035500
tdi	Triticum dicoccoides	85692	Ensembl	http://plants.ensembl.org/Triticum_dicoccoides/Info/Index	28684525
ttu	Triticum turgidum	4567	v1.0	https://www.interomics.eu/durum-wheat-genome	30962619
vpl	Vanilla planifolia	51239	Elo Vpla-A Principal v1.0	https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA633886	
zjn	Zoysia japonica ssp. nagirizaki	309978	Zoysia Genome Database v1.1	http://zoysia.kazusa.or.jp/	26975196
zma	Zea mays	4577	NAM v5.0	https://plants.ensembl.org/Zea_mays/Info/Index	19965430
zosmarina	Zostera marina	29655	v3.1	https://phytozome-next.jgi.doe.gov/info/Zmarina_v3_1	
